time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
53849,-1252,-3612,8628,-17890,841,-1855,168896,82506
53989,-4184,-1916,12284,24821,5158,5246,166741,83060
54131,-912,-5220,15424,-22436,-5768,529,171791,83472
54271,-3360,-4852,1968,16778,9325,-1592,166094,82057
54411,24024,10688,29272,-4980,-6156,-3652,174646,84565
54551,-7828,-1924,12152,-6478,33,16278,167807,82416
54691,1944,-2508,14380,3955,204,-22232,169695,84016
54831,7052,-2732,13984,-2245,-5069,19145,172957,83868
54973,-11000,-7264,9196,1789,5344,-17348,168069,82710
55113,11872,4280,23568,-2182,-2021,-2151,174370,84466
55253,-9484,-3688,13216,-2354,-102,13355,168799,82797
55393,10764,-104,19652,5746,-99,-16914,173329,84504
55533,2252,-1180,13240,-2350,-4350,22045,171867,83619
55675,-5580,-5812,11692,511,1524,-16128,169932,83557
55815,11916,-448,17700,-3514,-3300,4178,174347,84368
55955,-5236,-5824,14688,-4154,-1265,5377,171712,83951
56095,1652,-5228,14132,-1832,1350,2922,173863,84446
56235,352,-5816,13924,-836,-755,1430,174331,84508
56375,420,-6428,14504,-981,14,792,174677,84613
56517,-316,-6464,12392,923,-440,1027,174373,84421
56657,380,-3212,17292,4840,5759,-21331,173900,84607
56797,6164,-3656,13736,2358,-6025,18943,174524,84614
56937,-12808,-6856,11096,-413,5432,-15068,170335,83421
57077,18388,492,20652,-860,-701,3420,175053,84849
57217,-13592,-2360,15696,-2079,-160,12981,171649,83371
57359,14072,200,18560,648,718,-20273,174490,84743
57499,-2328,-1088,13816,1965,-4750,25558,172841,83894
57639,-5648,-3688,13992,1966,-2977,-26271,170058,84194
57779,6972,-3672,12308,2694,-5718,27310,173132,84027
57919,-11716,-5116,13872,644,-2463,-18117,168923,83283
58061,11520,1576,16776,1619,5496,23297,174137,84283
58201,-15832,-5520,10944,-3571,6866,-10448,169000,82888
58341,17868,4044,20544,-2275,7540,9660,174390,84571
58481,-16008,-6268,11044,-6212,7325,900,168658,82834
58621,14928,-964,18664,-1329,-9346,-11894,173157,84491
58761,-8064,-3944,12516,1673,1943,20753,169184,82950
58903,-5216,-5576,15712,1681,-3221,-24326,169784,83520
59043,5496,-3764,12344,-1505,-471,22316,170083,83238
59183,-15492,-8840,9168,1471,1613,-18170,168057,82786
59323,14948,1604,19268,-1892,9993,6191,173979,84378
59463,-15564,-10992,10252,-5875,-3809,490,168100,82740
59605,6472,-1320,18216,6300,-5937,-19886,172856,84500
59745,-188,-5928,12396,-2679,-1416,20345,170784,83301
59885,-10412,-7300,11104,2698,4193,-18614,167829,82958
60025,14364,-4488,15112,-2387,-112,9627,174347,84585
60165,-14720,-7900,12904,-5073,1499,3844,168984,82899
60305,14688,-3408,18000,2053,130,-12796,174045,84692
60447,-5432,-6852,12968,-2695,-3192,17552,171629,83632
60587,-3048,-6936,12604,4496,1684,-16954,170527,83999
60727,1024,-6256,13612,-875,-7635,16701,172696,84012
60867,-12552,-9144,10048,4376,6009,-14811,169563,83253
61007,6184,-2660,17860,-1306,2197,10525,173702,84301
61149,-14928,-10512,8268,-1908,8581,-3478,169546,83052
61289,18036,4244,24212,-5284,1892,632,175187,84793
61429,-11824,-8736,8700,-9987,3908,9551,170694,83404
61569,1312,-6688,21084,7691,-3271,-16249,172609,84793
61709,-6688,-10428,8700,-10029,542,12739,172558,84135
61849,-5436,-9476,9592,-2916,941,2203,173259,84345
61991,-4952,-10816,9392,-942,-274,-539,173134,84332
62131,-9556,-11088,2872,9831,-2378,-10540,169587,83291
62271,17836,5148,31364,2795,-9466,-1972,175279,85048
62411,-17888,-10132,4324,-211,1317,3079,169075,82971
62551,19292,7256,31808,5894,-8588,-11904,174848,85050
62691,-9904,-8904,8468,-8279,1006,15327,170790,83512
62833,-6368,-8784,10104,13166,-410,-20213,170504,84182
62973,872,-11012,11464,-7647,-696,21262,173943,84178
63113,-10300,-9996,5108,8162,4771,-13158,169295,83483
63253,4896,2112,25436,-4370,-9328,5521,174864,84771
63393,-14920,-10068,5468,-4066,2322,453,169101,83151
63535,7728,9084,31400,-3911,3253,-6038,175001,84858
63675,-12188,-8412,5384,-4811,1568,8570,169149,83177
63815,4504,536,28672,6969,-5009,-12125,174028,84998
63955,-10740,-10160,4952,-11733,127,13005,170410,83467
64095,-3724,-5276,15336,17471,6623,-16061,170865,84503
64235,-7208,-16440,9636,-11334,-236,16633,171298,83539
64377,-6488,-8716,8964,14299,4444,-17700,169198,83863
64517,-7004,-15808,10568,-9134,-472,17609,171691,83742
64657,-7396,-9692,7664,9833,3019,-21246,170060,83835
64797,-1676,-11628,11500,-2818,480,23976,173225,84061
64937,-7708,-10784,7828,7310,78,-23409,170125,83797
65077,828,-8956,12076,-392,-4154,21914,173586,84232
65219,-9800,-10504,8344,6721,5311,-20435,170057,83431
65359,4928,-8020,13544,-4677,2440,20012,173546,84133
65499,-12620,-10124,6348,3676,6134,-11393,169466,83434
65639,15924,2980,23344,-3168,1333,6953,174813,84852
65779,-17184,-10248,6312,-3951,4426,883,168231,82998
65919,18592,3116,27568,-252,-9085,-7123,174107,84891
66061,-4324,-8380,9304,-5261,591,15315,168504,83099
66201,-7604,-7476,13904,12646,-126,-21114,168212,83876
66341,-5696,-12476,10316,-5922,-2033,19220,169697,83436
66481,-9888,-8804,10040,9797,3018,-19077,168084,83288
66621,-636,-12940,10932,-7936,-2874,18519,170665,83543
66763,-6708,-12120,5872,9158,4397,-14174,168474,83321
66903,-2952,-12044,14100,-5390,-4959,13969,171522,83869
67043,-6232,-12376,6456,7755,5050,-17249,168358,83449
67183,176,-9364,12884,-2635,-6646,19778,172112,84039
67323,-12016,-10396,8456,6405,5093,-18944,168697,83305
67465,4532,-10688,13536,-9100,-3627,17748,172359,83960
67605,-13576,-11888,3156,1103,5235,-11621,168087,83091
67745,16340,1236,22284,-1204,-594,4052,174766,84935
67885,-12524,-10360,6196,-1958,8776,1781,169672,83475
68025,22504,2148,26276,3248,-11598,-4837,174437,85123
68167,-10180,-9404,8156,-6576,3381,7920,169667,83383
68307,608,-5012,18984,12662,-7199,-16138,169941,84614
68447,-5892,-10536,9868,-10448,2185,17930,171160,83844
68587,-7028,-9196,6264,10435,2256,-12050,169092,83558
68727,1560,-10456,15780,-6523,-3386,13643,173667,84408
68867,-7996,-10088,6068,3596,3834,-10406,169869,83585
69009,2260,-9156,14876,-4528,1737,8032,172640,84165
69149,-8624,-10844,4264,7582,6562,-8193,169059,83523
69289,8196,-1796,23460,-2038,-61,6954,174857,85025
69429,-10828,-9676,7004,-5467,7275,-2847,171042,83875
69569,19784,3692,27144,2736,-9446,-5013,175258,85274
69711,-9636,-10360,8648,-7973,7044,8578,171688,83948
69851,1172,-5504,18292,13299,-8494,-11068,172354,85077
69991,-7048,-11868,10060,-9244,-1420,12831,172685,84456
70131,-6652,-7640,7740,13813,682,-15931,169749,84053
70271,-1060,-12740,13708,-9984,-7040,20871,174255,84571
70413,-6608,-9072,3492,8001,6360,-14166,169624,83502
70553,10628,-5920,21548,-6136,558,11957,175290,85014
70693,-8652,-10800,3900,-168,3713,-6213,170205,83851
70833,22688,4080,27172,-1410,-6910,2879,175654,85311
70973,-10972,-10296,4240,-4572,4653,1031,170542,83870
71115,14312,-236,27160,9084,-16443,-10100,174709,85351
71255,-8548,-8092,8992,-8322,6963,9534,171379,83776
71395,-2016,-6032,11324,15313,-5293,-17857,169509,84475
71535,-1252,-10900,13360,-7361,-2938,23096,172875,84325
71675,-7116,-8764,5056,8091,8810,-17844,169352,83509
71815,10252,-7552,19644,-6193,-547,14141,175218,84964
71957,-10692,-10500,3964,-893,5703,-7803,170043,83708
72097,26200,5872,27528,3309,-7941,-3516,175827,85418
72237,-8624,-7316,9908,-10147,4812,10145,172039,84146
72377,-2068,-6752,10096,15281,-3000,-14473,170107,84532
72517,-588,-12832,14580,-8174,-5649,19821,173831,84606
72659,-6492,-8508,4696,6685,5218,-11209,169387,83514
72799,10596,-5868,22132,-4061,-138,10288,175138,85080
72939,-8784,-9076,5012,-3138,4921,-1216,170288,83894
73079,18320,1876,27004,6205,-8770,-7832,175610,85482
73219,-6544,-7456,8684,-9691,5097,7228,172553,84251
73359,-3396,-4172,12984,16499,-2245,-13738,170528,84718
73501,-5192,-13916,12148,-10897,169,13676,173771,84542
73641,-5800,-7424,6288,9917,2609,-9803,170656,84048
73781,368,-10100,16800,-8935,-2238,9450,175480,85241
73921,-5028,-9652,4176,12696,7487,-13215,170433,84044
74061,5304,-8068,18696,-7183,-10087,5906,175594,85290
74203,-2596,-6764,10424,7781,-1511,-8995,172089,84784
74343,4388,-6512,13800,-374,-3886,-1279,174931,85052
74483,5044,-3348,16160,1056,-894,52,174059,85093
74623,2380,-5272,13236,-2366,-3108,2293,172780,84751
74763,10136,356,20460,-583,-833,-3588,174666,85119
74903,-148,-6112,7480,3561,1778,-3,169647,83740
75045,7940,-5788,16884,-5371,-8568,6039,171755,84288
75185,-456,-5380,11456,8360,5185,-8049,168919,84069
75325,6360,-6220,12512,-3460,-2546,4786,170551,84147
75465,4888,-1876,20064,8434,306,-7818,171520,85133
75605,84,-5804,9916,-6092,1377,6170,170176,83942
75747,11036,3896,27612,5054,-5516,-11034,174221,85310
75887,-816,-4408,7936,-6660,-897,10105,170203,83906
76027,10600,-1028,23336,5826,-5643,-15032,174164,85573
76167,1104,-3896,9000,-7056,-1499,16491,172598,84609
76307,-1224,-3724,16244,10643,-4298,-20043,170620,85116
76447,2960,-8528,8852,-6334,-2682,11666,171883,84431
76589,3420,-3636,14400,3650,1191,-5411,172561,84764
76729,5216,-5720,14652,1059,-727,-1883,173189,84939
76869,6220,-4932,14772,-3652,2408,4560,174579,85206
77009,-1044,-7116,7864,7298,4869,-10461,171093,84482
77149,9712,-7776,14716,-5313,-10418,17915,175006,85233
77291,-8584,-7196,7792,6801,8791,-18592,170397,84124
77431,14172,-8520,13460,-6390,-1769,20949,175290,85263
77571,-12008,-7636,8200,3715,9649,-9792,169985,84016
77711,18596,-4124,17780,-4868,1980,11942,175491,85461
77851,-12436,-6152,8440,706,10273,-1634,170786,83890
77993,32640,4384,21772,2865,6523,8977,176254,85606
78133,-12948,-5912,7968,-1825,9400,-5888,170136,83856
78273,22744,3388,19808,-3008,3880,6652,175261,85545
78413,-10376,-6088,9212,-877,3184,-197,169211,83802
78553,24876,2656,22276,-2370,1737,-6702,175688,85638
78693,-1044,-3792,12600,-1234,-4398,11105,172562,84793
78835,6108,-6560,12904,-3848,1317,-2415,174027,85088
78975,6468,-3856,13360,7533,4076,-5621,173964,85346
79115,6348,-4764,13436,1092,-3067,3776,174464,85250
79255,5104,-2816,14960,-404,185,-2208,173541,85111
79395,8060,-3880,13732,-496,-429,1179,173391,85014
79537,-2288,-5436,11832,2096,8487,-9270,171690,84585
