[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
17917,1828,3468,14988,49,190,-179,179888,88699
18057,1576,3196,15004,-420,81,-171,179942,88868
18197,1844,3236,14992,-161,-154,-3,179786,88751
18337,1744,3024,15000,-299,208,-181,179755,88768
18479,1748,3212,14984,-139,122,-41,179780,88763
18619,1744,3048,15076,-204,108,-116,179961,88773
18759,1732,3048,15068,-774,-356,-52,179901,88820
18899,1840,2796,15112,-867,-286,122,179572,88777
19039,1648,2532,14896,-596,429,53,179568,88752
19179,2048,2780,15316,-371,832,-438,179568,88725
19321,1364,2796,14932,-762,-601,501,179765,88791
19461,1580,2068,15264,-384,1052,-43,179581,88708
19601,1728,2592,15180,-321,-316,29,179482,88882
19741,1792,2348,15276,-251,-120,63,179607,88809
19881,1924,2284,15172,-124,53,45,179643,88831
20023,1712,2268,15140,-162,-26,3,179768,88768
20163,1700,2464,15200,28,63,43,179587,88827
20303,1704,2364,15152,-162,27,-62,179599,88920
20443,1812,2320,15132,-431,-125,-106,179714,88910
20583,1540,2248,15244,97,-612,-629,179777,88895
20723,1860,2572,15188,174,97,-181,179656,88880
20865,1168,2616,15096,-492,781,-82,179782,88848
21005,1516,2316,15192,57,57,-101,179725,88943
21145,1460,2536,15192,7,-444,-321,179808,88981
21285,1416,2616,15220,249,535,-273,179749,88914
21425,1504,2988,15116,-25,-2682,-368,179687,88910
21567,1780,2532,15044,-123,528,172,179886,88935
21707,1772,2972,15080,64,275,-308,179894,88879
21847,1984,2928,15072,20,329,-362,179920,89046
21987,1604,3008,15128,106,278,-279,179786,88920
22127,1568,3024,15084,84,427,-446,179895,88964
22269,1712,3164,15172,-25,-93,-322,180051,88913
22409,1488,3188,15040,19,121,-220,180210,89037
22549,1368,3124,15200,286,416,-188,180027,89052
22689,1300,3480,14920,160,479,-220,180061,89051
22829,1364,3540,14884,-186,158,-23,180136,89008
22969,1364,3488,14972,-314,122,-100,180174,89024
23111,1428,3400,15080,-13,50,-1,180179,89018
23251,1400,3728,14980,-192,198,-296,180107,89025
23391,992,3284,15108,427,262,-12,180122,89127
23531,1072,3776,14848,-103,482,-596,180350,89077
23671,1220,3768,15036,-225,44,-173,180252,89078
23813,1116,3612,14920,-367,-47,-266,180294,89042
23953,1096,3520,15244,139,220,37,180176,89065
24093,1376,3852,14856,15,364,-209,180295,89185
24233,836,3796,14992,-35,-113,-160,180411,89145
24373,1076,3828,14888,45,309,-139,180208,89124
24515,1048,3820,14908,-39,129,92,180257,89100
24655,916,3936,14732,-108,-143,-68,180419,89102
24795,1056,3940,14916,104,-227,151,180400,89190
24935,1116,4080,14840,-48,-37,-45,180300,89193
25075,1224,4096,14840,-139,95,-30,180275,89156
25215,1256,4028,14972,-175,198,-96,180289,89062
25357,1168,4088,14940,-61,184,34,180443,89135
25497,1052,3924,14816,-202,181,-136,180239,89090
25637,1300,4160,14964,-725,35,-117,180044,89176
25777,1216,3780,14948,-420,-51,-187,180092,89070
25917,968,3800,14968,-302,201,-132,180094,89118
26059,1080,3776,14936,-155,186,-157,180080,89054
26199,868,3712,14928,-203,319,-154,180010,89103
26339,960,3800,14988,-184,163,-121,180097,89180
26479,988,3816,15008,-131,77,-94,180195,89164
26619,720,3768,14988,-153,141,-103,180100,89162
26761,940,3744,14804,-192,181,-100,180036,89126
26901,1032,3768,14904,-141,165,-36,180242,89122
27041,896,3836,14940,-175,66,-70,180221,89265
27181,840,3728,15044,-237,160,-125,180237,89251
27321,912,3772,14860,-211,-31,-129,180148,89196
27461,880,3808,14912,-210,70,-117,180209,89157
27603,904,3704,14928,-183,146,-69,180404,89229
27743,840,3760,14984,-188,119,-71,180299,89265
27883,892,3752,14992,-223,107,-121,180208,89305
28023,860,3768,14888,-197,62,-98,180317,89270
28163,920,3780,14988,-174,118,-42,180328,89279
28305,884,3808,14888,-192,93,-81,180437,89285
28445,928,3768,15004,-135,107,-90,180359,89186
28585,924,3744,15060,-188,119,-91,180377,89421
28725,900,3708,15040,-184,118,-68,180530,89355
28865,784,3764,14912,-188,58,-115,180400,89323
