[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
77151,-2316,2812,16936,-6981,-967,1604,183248,91400
77293,-560,292,14492,-8168,-1088,1929,183632,91427
77433,-2388,-1072,12732,-1294,161,2374,183577,91445
77573,-2128,-2952,13116,4419,-820,-1615,183584,91577
77713,-1364,-936,16128,5307,2426,-3932,183869,91669
77853,-704,1952,16784,2390,-3064,-2475,183896,91627
77993,-1880,1712,15492,704,-1146,56,183990,91622
78135,-2128,1848,15432,-152,-842,-585,183680,91490
78275,-1004,2928,15400,455,-355,-2196,183025,91308
78415,28,1820,15560,-145,-902,-729,182576,91254
78555,-504,1864,15580,219,-1615,686,182622,91132
78695,-536,3216,14916,-709,-2,-237,182410,91106
78837,-316,1744,15364,-1135,703,-1407,182410,91055
78977,-148,1328,15396,-392,-807,-49,182406,91071
79117,-244,2056,15136,-240,-635,260,182503,91190
79257,108,1908,15368,-350,135,-362,182463,91127
79397,-60,1576,15336,-249,353,-365,182354,91106
79539,28,1672,15340,-134,-180,44,182414,91102
79679,-44,1748,15304,-314,59,-370,182606,91123
79819,104,1696,15308,-35,14,-78,182537,91165
79959,184,1888,15324,-257,284,-130,182382,91172
80099,-112,1612,15252,-145,68,-161,182412,91129
80239,164,1688,15224,-58,20,-102,182461,91072
80381,204,1832,15268,-155,-207,-158,182633,91127
80521,132,1840,15408,-175,-186,-219,182332,91090
80661,184,1712,15368,-249,3,-75,182273,91185
80801,256,1820,15380,-272,29,-161,182403,91064
80941,224,1692,15388,-97,258,-102,182417,91103
81083,260,1624,15260,-211,-12,-158,182351,91036
81223,240,1824,15248,-263,-63,-109,182353,91049
81363,260,1636,15404,-319,-53,-223,182382,91158
81503,324,1684,15456,-298,-1,-127,182537,91169
81643,276,1696,15312,-207,-40,-86,182348,91101
81783,288,1652,15368,-160,-8,-112,182375,91116
81925,340,1704,15244,-189,31,-148,182588,91106
82065,360,1644,15348,-152,149,-55,182562,91180
82205,348,1644,15248,-190,113,-61,182444,91192
82345,264,1620,15296,-164,161,-131,182383,91154
82485,368,1668,15288,-187,70,-26,182489,91095
82627,220,1696,15372,-207,56,-93,182662,91160
82767,224,1608,15324,-239,179,-78,182567,91167
82907,324,1628,15248,-175,188,-42,182396,91228
83047,284,1620,15204,-161,57,-72,182541,91150
83187,316,1684,15428,-65,137,-106,182518,91162
83329,160,1680,15256,-119,123,-5,182755,91182
83469,428,1900,15460,511,-264,485,182506,91103
83609,-1164,1532,15756,-82,3846,1700,182116,91124
83749,-976,1288,18404,-4454,887,947,182534,91196
83889,-2044,-1972,16752,-9404,-3722,1858,182127,91096
84031,-1600,-4076,15096,-3900,5806,3076,182204,91046
84171,-604,-3196,12548,-2654,1100,300,182513,91260
84311,-1196,-3228,12472,-1227,-2689,-316,182921,91468
84451,-2672,-2368,14936,-242,-2303,-1426,183321,91505
84591,204,-4152,16012,911,-7566,-1934,183352,91422
84731,2204,-4044,14388,1623,-1012,401,183392,91450
84873,2484,-3028,14220,1999,-1089,45,183874,91564
85013,1736,-2004,15736,1577,-749,70,184078,91609
85153,2300,-1304,15560,536,-693,465,184296,91727
85293,2820,-904,15140,813,-1997,825,184436,91706
85433,3056,-1632,16220,-765,-551,-224,184479,91612
85575,2484,-1956,15000,-1060,1480,91,184617,91705
85715,3236,-1680,14992,1688,-1791,-990,184617,91694
85855,3848,-1236,15048,271,-297,-305,184573,91802
85995,4192,-1096,15192,422,432,124,184424,91710
86135,3572,-1088,15072,-92,146,-6,184315,91720
86277,3448,-1088,15184,-299,443,60,184462,91686
86417,3440,-1012,15132,-139,-76,-121,184406,91661
86557,3200,-1204,14984,-47,-235,-186,184302,91709
86697,3292,-1320,15108,-191,194,-86,184243,91671
86837,3236,-1212,15188,-239,97,-23,184256,91684
86979,3184,-1080,15164,-246,-47,-131,184376,91680
87119,3260,-1096,15120,-201,87,-110,184547,91673
87259,3308,-1228,15180,-131,95,-138,184357,91730
87399,3368,-1204,15072,-174,166,-83,184304,91730
87539,3268,-1152,14984,-132,78,-65,184337,91700
87679,3244,-1220,15028,-180,70,1,184442,91623
87821,3192,-1172,15060,-235,208,-52,184654,91691
87961,3212,-1088,15052,-136,36,-89,184531,91675
88101,3192,-1076,15056,-241,73,-74,184325,91722
88241,3172,-1156,15088,-195,218,-116,184440,91671
88381,3292,-1120,15088,-138,84,-11,184472,91683
88523,3260,-1144,15136,-125,98,-49,184712,91682
88663,3292,-1068,15160,-226,96,-92,184594,91591
88803,3288,-1084,15064,-160,91,-98,184416,91794
88943,3124,-1088,15136,-191,202,-87,184516,91693
89083,3288,-1048,15096,-145,153,-106,184513,91685
89225,3248,-1084,15232,-173,285,-66,184681,91653
89365,3156,-1116,15088,-143,350,-26,184714,91690
89505,3100,-1148,15188,-114,190,-82,184515,91748
89645,2984,-1036,15252,-183,274,-60,184564,91728
89785,2948,-1044,15148,-114,257,-9,184618,91696
89925,3064,-952,15136,-115,587,79,184704,91633
90067,2884,-944,15184,-185,355,49,184790,91693
90207,2932,-1048,15196,-95,6,-23,184546,91662
90347,2880,-992,15140,-210,104,-48,184538,91710
90487,2856,-916,15140,-119,115,-135,184600,91647
90627,2916,-952,15204,-214,195,-66,184641,91669
90769,2816,-1052,15208,-13,58,-78,184729,91662
90909,2748,-1056,15276,-110,213,-113,184502,91571
91049,2884,-936,15248,-172,98,-43,184449,91736
91189,2768,-956,15080,-141,74,-42,184547,91608
91329,2940,-860,15244,-146,21,-144,184561,91644
91471,2904,-888,15168,-219,178,-231,184474,91581
91611,2900,-964,15140,-298,175,-108,184467,91578
91751,2840,-980,15132,-145,203,-106,184484,91710
91891,2760,-972,15128,-202,130,32,184620,91661
92031,2956,-916,15180,-83,-50,-84,184423,91633
92173,2776,-940,15324,-149,239,-71,184340,91599
92313,2684,-876,15216,-167,251,-21,184520,91595
92453,2824,-808,15276,-58,235,-160,184546,91733
92593,2708,-824,15232,-237,140,-176,184582,91725
92733,2800,-972,15144,-18,195,-61,184441,91664
92873,2684,-952,15180,-287,195,-127,184494,91656
93015,2700,-888,15448,-127,211,-66,184688,91698
93155,2680,-996,15148,-200,17,-84,184671,91731
93295,2708,-820,15148,-107,78,-51,184466,91749
93435,2820,-776,15328,-237,124,-72,184536,91728
93575,2720,-820,15284,-163,101,-53,184547,91711
93717,2676,-688,15312,-191,345,-62,184799,91748
93857,2516,-888,15292,-184,17,-39,184578,91637
93997,2648,-836,15284,-171,60,-105,184508,91829
94137,2564,-920,15368,-177,46,-127,184622,91733
94277,2832,-872,15160,-147,76,-67,184674,91749
94419,2620,-808,15112,-51,81,18,184687,91635
94559,2556,-756,15236,-154,175,-56,184606,91713
94699,2700,-832,15220,-224,61,-47,184538,91785
94839,2620,-740,15252,-184,-10,-163,184597,91779
94979,2572,-828,15296,-219,122,-85,184597,91727
95119,2672,-796,15140,-180,65,-98,184431,91686
95261,2584,-840,15316,-184,59,-85,184629,91703
95401,2644,-880,15272,-181,70,-95,184559,91752
95541,2588,-852,15304,-192,67,-64,184587,91790
95681,2668,-824,15308,-224,54,-53,184454,91723
95821,2792,-780,15208,-185,143,-48,184453,91727
95963,2744,-840,15172,-163,-35,-141,184693,91747
96103,2628,-792,15224,-163,80,-101,184670,91690
96243,2708,-812,15224,-203,-13,-84,184506,91813
96383,2732,-752,15276,-206,75,-73,184486,91732
96523,2604,-796,15192,-184,117,-96,184539,91772
96665,2712,-740,15160,-164,105,-21,184626,91722
96805,2672,-836,15240,-156,92,-87,184716,91704
96945,2744,-768,15292,-172,30,-80,184484,91781
97085,2732,-852,15108,-156,84,-65,184529,91804
97225,2664,-816,15168,-175,70,-84,184615,91779
97365,2824,-720,15220,-131,-56,-50,184662,91754
97507,2636,-892,15256,-169,84,-64,184757,91719
97647,2920,-732,15172,-164,97,-28,184407,91630
97787,2748,-784,15240,-161,34,-73,184473,91768
97927,2780,-776,15284,-154,23,-95,184588,91739
98067,2720,-784,15228,-148,66,-86,184647,91749
98207,2700,-844,15260,-128,63,-80,184581,91750
98349,2804,-792,15244,-177,88,-81,184622,91715
98489,2796,-764,15216,-157,86,-78,184587,91765
98629,2704,-816,15188,-136,31,-108,184621,91832
98769,2732,-716,15128,-143,177,-57,184820,91767
98909,2768,-776,15188,-162,46,-77,184765,91783
99051,2804,-732,15160,-182,91,-18,184702,91707
99191,2768,-688,15392,-107,18,-39,184662,91760
99331,2712,-812,15208,-144,45,-26,184638,91827
99471,2860,-828,15148,-108,-63,-80,184711,91829
99611,2812,-532,15136,-177,95,-174,184739,91768
99751,2716,-696,15196,-175,79,-92,184551,91682
99893,2800,-704,15216,-139,77,-53,184675,91747
100033,2628,-644,15400,-187,245,-179,184671,91774
100173,2724,-644,15192,-179,87,-49,184690,91889
100313,2736,-628,15288,-201,70,-104,184885,91788
100453,2764,-720,15184,-232,184,-78,184663,91787
100595,2616,-680,15204,-152,138,-37,184692,91724
100735,2684,-724,15092,-165,43,-33,184713,91781
100875,2660,-768,15212,-195,55,-96,184755,91895
101015,2584,-864,15156,-147,42,-110,184877,91892
101155,2644,-692,15176,-127,52,-129,184883,91842
101295,2612,-792,15240,-182,73,-100,184721,91738
101437,2548,-736,15304,-164,125,-14,184857,91850
101577,2608,-704,15300,-207,65,-79,184835,91824
101717,2588,-676,15240,-224,90,-77,184863,91966
101857,2468,-740,15204,-164,94,-47,185025,91897
101997,2572,-676,15232,-217,186,-40,184826,91880
102139,2512,-704,15356,-164,10,-87,184885,91792
102279,2720,-664,15212,-194,288,32,184937,91862
102419,2488,-688,15312,-78,293,-30,184960,91981
102559,2444,-640,15340,-136,163,-87,185065,91980
102699,2484,-708,15260,-203,143,-44,184934,91895
102839,2516,-740,15228,-178,68,-31,184898,91818
102981,2532,-700,15252,-181,160,-93,185014,91893
103121,2552,-664,15320,-206,109,-66,185051,91908
103261,2396,-836,15188,-227,-7,-59,185054,92031
103401,2420,-780,15328,-181,77,-45,184930,91857
103541,2492,-768,15292,-141,-19,-19,184806,91876
103683,2468,-692,15216,-206,176,-57,184871,91771
103823,2504,-756,15344,-138,23,-125,184959,91863
103963,2440,-776,15380,-217,117,-114,184940,91919
104103,2408,-672,15324,-185,104,-86,184785,91897
104243,2456,-760,15296,-210,85,-65,184801,91870
104383,2412,-732,15272,-166,65,-65,184872,91818
104525,2412,-800,15244,-190,56,-68,185059,91908
104665,2416,-724,15288,-180,119,-123,184923,91921
104805,2332,-764,15256,-150,6,-118,184754,91930
104945,2388,-772,15232,-199,89,-96,184857,91918
105085,2420,-764,15236,-204,110,-44,184861,91911
105227,2516,-684,15388,-184,5,-39,185113,91968
105367,2352,-880,15144,-200,167,-1,184869,91851
105507,2356,-724,15276,-63,-32,-319,184752,92019
105647,2412,-624,15376,-246,294,-5,184853,91918
105787,2284,-808,15308,152,-115,-169,184917,91967
105929,2304,-552,15276,-321,187,-122,185034,91905
106069,2232,-776,15264,-276,-52,-78,184771,91889
106209,2376,-576,15276,-163,137,-72,184763,91971
106349,2496,-684,15208,-90,-76,-136,184866,91962
106489,2576,-724,15208,-177,5,-66,184904,91984
106631,2580,-644,15164,-258,230,-207,184814,91940
106771,2536,-860,15312,-227,366,-221,184809,91914
106911,2472,-316,15344,-37,164,-159,184759,91974
107051,2608,-868,15208,-385,160,261,184865,92035
107191,2520,-656,15284,-177,73,-303,184992,92060
107331,2396,-800,15336,-294,368,-145,184856,92004
107473,2376,-680,15376,-166,-165,110,184951,91992
107613,2588,-660,15288,-178,127,-163,184900,91931
107753,2328,-768,15296,-154,94,-81,184993,92115
107893,2568,-672,15432,-185,78,45,185098,92061
108033,2320,-836,15232,-243,133,-170,184921,92056
108175,2476,-748,15248,-54,-24,-83,184904,92000
108315,2484,-816,15288,-238,243,-145,185069,92009
108455,2420,-812,15356,-151,-23,-118,185103,92107
108595,2432,-736,15220,-209,89,-49,185091,92140
108735,2468,-788,15204,-143,59,-81,184965,92057
108875,2520,-760,15208,-221,81,-93,184980,92058
109017,2464,-792,15216,-140,55,-93,185261,92113
109157,2408,-664,15392,-158,79,-38,185254,92032
109297,2440,-700,15280,-159,113,-19,185122,92179
109437,2428,-756,15232,-251,36,-108,185065,92078
109577,2400,-816,15268,-174,84,-44,185084,92105
109719,2368,-756,15316,-92,26,-33,185120,92071
109859,2336,-752,15244,-95,-46,-110,185239,92071
109999,2536,-620,15340,5,-5,-57,184982,92027
110139,2456,-764,15320,-159,90,-18,184930,92107
110279,2560,-640,15276,-185,33,-14,185045,92028
110419,2412,-608,15212,-194,122,-63,185037,92062
110561,2504,-608,15332,-208,170,-17,184979,91992
110701,2540,-660,15224,-211,57,-128,184879,92007
110841,2488,-656,15148,-170,46,-79,184906,92103
110981,2472,-704,15276,-187,128,-48,185020,92088
111121,2616,-688,15212,-179,-69,-138,184931,92041
111261,2500,-720,15284,-141,131,-174,184796,92005
111403,2540,-744,15300,-165,40,-117,184996,92036
111543,2400,-692,15216,-191,292,-48,184958,92087
111683,2376,-840,15116,-286,179,-8,185026,92161
111823,2568,-720,15208,-147,95,-52,184828,92052
111963,2396,-828,15116,-114,109,-106,184814,92008
112105,2368,-1148,15200,-133,-73,316,185011,92072
112245,2576,-736,15236,-36,-47,-337,185046,92077
112385,2376,-832,15384,-139,-53,18,184890,92205
112525,2476,-804,15336,-208,11,1,184869,92033
112665,2512,-728,15236,-212,92,-124,184854,92078
112807,2444,-728,15184,-99,63,62,185034,92065
112947,2408,-868,15264,-395,20,-91,185088,92073
113087,2400,-788,15224,-219,131,-201,184966,92168
113227,2292,-1040,15156,-19,150,27,184857,92101
113367,2384,-924,15268,-80,-271,-36,184894,92108
113507,2276,-652,15344,-197,294,-140,184952,92084
113649,2312,-804,15256,-138,225,-115,185191,92112
113789,2180,-820,15252,-160,-24,-13,184906,92122
113929,2456,-876,15188,-160,124,-96,184915,92179
114069,2416,-712,15292,-276,146,-124,185012,92143
114209,2440,-760,15248,-169,74,-75,185090,92096
114351,2328,-836,15176,20,76,-225,185192,92158
114491,2452,-612,15332,-522,437,27,185013,92039
114631,2164,-1376,15204,5,-187,237,184880,92198
114771,2416,-856,15384,-91,-252,-377,185053,92133
114911,2272,-920,15296,-124,234,-309,185213,92177
115053,2476,-612,15300,53,34,-50,185225,92081
115193,2380,-852,15192,-181,108,-42,185211,92149
115333,2336,-696,15316,-237,152,-47,185207,92221
115473,2328,-880,15288,-230,-49,-77,185317,92243
115613,2320,-932,15300,-132,-190,-112,185428,92219
115753,2292,-784,15252,-229,126,-65,185239,92151
115895,2240,-824,15308,-191,22,27,185342,92133
116035,2328,-776,15276,-160,44,-47,185219,92194
116175,2428,-772,15360,-211,32,-104,185286,92248
116315,2292,-744,15340,-163,53,-88,185241,92155
116455,2316,-796,15212,-180,79,-58,185064,92048
116597,2512,-680,15296,-132,45,-54,185202,92127
116737,2428,-732,15176,-159,29,-117,185161,92097
116877,2436,-816,15364,-189,72,-94,185111,92215
117017,2472,-748,15244,-238,200,-36,185067,92058
117157,2424,-832,15340,-199,107,-115,184939,92069
117299,2332,-668,15252,-174,111,-51,185115,92076
117439,2360,-812,15384,-210,174,-97,185142,92084
117579,2444,-736,15300,-187,-57,-109,185074,92147
117719,2356,-816,15224,-145,112,-88,184956,92076
117859,2472,-676,15268,-154,10,-89,184975,92109
117999,2352,-760,15172,-204,140,-116,185025,92097
118141,2436,-780,15324,-156,105,-84,185208,92095
118281,2408,-712,15292,-179,-24,-109,184905,92093
118421,2212,-756,15164,-149,134,-21,184845,92130
118561,2344,-672,15272,-97,-3,-71,184937,92108
118701,2416,-740,15252,-122,-41,-42,184956,92081
118843,2552,-660,15240,-181,114,-118,184899,92063
118983,2440,-692,15300,-174,117,-126,184734,91972
119123,2396,-724,15240,-255,179,-60,184765,92162
119263,2448,-776,15188,-173,103,-131,184884,92107
119403,2440,-796,15232,-106,33,-101,184862,92108
119545,2492,-716,15304,-167,149,-117,184738,91989
119685,2400,-648,15180,-134,206,-52,184904,92062
119825,2252,-664,15268,-167,-14,-87,184930,92188
119965,2440,-628,15252,-240,115,-88,185060,92222
120105,2284,-736,15368,-228,183,-63,184870,92116
120245,2568,-540,15312,-217,-16,-29,184804,92086
120387,2668,-640,15384,-227,166,8,184997,92136
120527,2468,-628,15344,-157,80,-4,184930,92171
120667,2364,-712,15356,-159,-183,-73,184955,92207
120807,2460,-684,15236,-91,-178,-9,184673,92095
120947,2592,-624,15192,-178,-3,-130,184582,92006
121089,2492,-696,15224,-299,197,-160,184752,92076
121229,2552,-656,15220,-271,314,-101,184797,92111
121369,2576,-596,15336,-206,94,-112,184704,92168
121509,2532,-764,15276,-226,163,6,184701,92062
121649,2548,-692,15176,-112,25,-82,184677,92112
121791,2596,-672,15136,-173,104,-95,184954,92151
121931,2512,-808,15244,-130,50,-69,184949,92118
122071,2560,-556,15144,-156,95,-136,184879,92220
122211,2480,-736,15264,-163,129,-59,184769,92135
122351,2384,-656,15324,-182,160,-150,184826,92183
122493,2320,-756,15308,-187,225,-160,184908,92159
122633,2140,-692,15184,-103,-109,-187,185121,92171
122773,2220,-588,15448,-216,208,-152,184955,92212
122913,2488,-732,15132,-178,229,-53,184841,92250
123053,2572,-704,15144,-153,-26,-103,184905,92200
123193,2584,-744,15360,-149,95,-43,184983,92200
123335,2532,-688,15324,-143,44,-118,185219,92258
123475,2428,-724,15336,-139,-60,-151,185105,92165
123615,2520,-712,15252,-164,111,-123,184989,92307
123755,2460,-672,15268,-158,44,-104,185028,92228
123895,2468,-696,15196,-206,126,-33,185136,92274
124037,2460,-764,15284,-160,-5,-66,185227,92246
124177,2428,-632,15232,-200,68,-106,185316,92231
124317,2512,-752,15224,-175,125,-65,185089,92282
124457,2572,-700,15204,-178,57,-24,185154,92306
124597,2396,-796,15272,-185,148,-114,185172,92260
124737,2560,-776,15284,-150,9,-34,185320,92198
124879,2512,-724,15352,-139,32,-100,185358,92251
125019,2664,-772,15192,-239,34,-151,185162,92213
125159,2500,-784,15240,-142,-24,-40,185123,92300
125299,2628,-656,15168,-177,87,-103,185154,92205
125439,2636,-764,15300,-206,-11,-163,185228,92258
125581,2612,-756,15300,-207,177,-77,185184,92144
125721,2640,-692,15220,-134,113,-118,185122,92221
125861,2552,-744,15248,-247,-22,-70,185136,92312
126001,2404,-696,15248,-232,139,-74,185241,92320
126141,2588,-776,15268,-214,49,-103,185295,92261
126281,2608,-716,15280,-200,124,-75,185044,92202
126423,2404,-780,15296,-218,152,-80,185195,92215
126563,2492,-736,15228,-211,56,-118,185166,92282
126703,2472,-744,15232,-182,107,-69,185200,92349
126843,2552,-780,15264,-164,62,-119,185178,92216
126983,2456,-804,15184,-228,149,-82,185005,92239
127125,2580,-812,15212,-193,149,-90,185162,92185
127265,2516,-628,15232,-193,70,-135,185234,92279
127405,2600,-988,15116,-161,96,-123,185272,92357
127545,2440,-760,15284,-113,147,-120,185103,92303
127685,2480,-740,15336,-298,408,-289,185097,92275
127825,2392,-924,15308,-175,-77,-12,185141,92225
127967,2864,-704,15112,-434,136,317,185299,92289
128107,2504,-912,15260,-667,309,-62,185209,92274
128247,2388,-1316,15116,-144,444,-744,185146,92385
128387,2412,-1160,15352,-95,-64,4,185300,92318
128527,2340,-956,15336,-14,-223,-104,185376,92376
128669,2528,-948,15100,-182,-138,-156,185567,92336
128809,2552,-1128,15212,-143,4,-53,185303,92358
128949,2660,-1012,15240,-265,-85,-68,185210,92394
129089,2476,-1104,15220,-39,-175,-137,185248,92385
129229,2552,-1056,15208,-135,-63,35,185276,92329
129369,2580,-972,15188,-110,22,-86,185182,92274
129511,2652,-992,15268,-58,0,-45,185139,92266
129651,2752,-840,15320,-147,-44,-87,184993,92285
129791,2768,-948,15132,-72,48,-116,185018,92324
129931,2704,-892,15220,-170,59,-104,185124,92249
130071,2780,-888,15128,-211,187,-108,184861,92236
130213,2648,-916,15180,-184,21,-99,184937,92205
130353,2912,-908,15196,-190,170,-53,184927,92241
130493,2780,-856,15268,-176,141,-51,185004,92357
130633,2744,-844,15196,-131,194,-106,185084,92330
130773,2616,-840,15180,-261,106,-114,184884,92264
130913,2644,-936,15164,-180,121,-4,184880,92275
131055,2692,-844,15252,-172,140,-47,185082,92286
131195,2592,-948,15192,-175,103,-88,185093,92330
131335,2676,-836,15244,-192,70,-119,184966,92366
131475,2556,-948,15228,-139,157,-89,184964,92270
131615,2656,-880,15332,-143,101,-38,184975,92297
131757,2724,-920,15276,-91,146,-45,185168,92285
131897,2492,-920,15212,-166,255,-113,185215,92345
132037,2588,-880,15212,-158,-31,-120,185129,92396
132177,2476,-884,15256,-145,39,-125,185060,92344
132317,2776,-792,15288,-163,55,-108,185150,92361
132457,2564,-840,15292,-150,85,-127,185195,92377
132599,2612,-832,15188,-103,-1,-115,185504,92389
132739,2592,-764,15292,-138,44,-140,185312,92425
132879,2460,-952,15196,-148,84,-87,185210,92436
133019,2616,-752,15196,-145,49,-103,185296,92439
133159,2508,-824,15324,-192,109,-117,185371,92428
133301,2648,-1044,15228,-233,262,36,185689,92498
133441,2408,-960,15348,-381,1760,481,185531,92437
133581,2868,-356,16328,-734,4990,1460,185413,92510
133721,1520,-1152,15256,24,-21,4,185853,92643
133861,448,-724,15432,273,2672,786,186088,92675
134003,208,-1016,15628,-937,1648,132,186602,92812
134143,0,-1348,15444,-968,2271,-214,187432,93036
134283,352,-1460,15592,-469,1270,-91,187572,93190
134423,-1340,-1040,15108,-303,2930,140,187606,93267
134563,-1248,-1404,15324,47,732,139,187404,93144
134703,-2116,-1204,15268,21,153,49,187172,93019
134845,-2024,-1096,15256,-10,23,125,187251,93096
134985,-1760,-972,15268,-84,364,-116,187031,93038
135125,-2120,-1080,15256,-229,195,-124,186779,93043
135265,-2028,-1120,15176,-216,-104,-36,186852,92972
135405,-2200,-1152,15296,-159,-117,-92,186802,92986
135547,-1872,-1068,15260,-125,-144,-134,186955,92994
135687,-1896,-1132,15128,-206,-51,-90,186691,92844
135827,-1832,-1104,15212,-180,132,-100,186587,93014
135967,-1816,-1076,15260,-167,46,-106,186626,92939
136107,-1760,-1056,15300,-206,245,-42,186770,92982
136249,-1724,-1004,15324,-229,276,-6,186859,92887
136389,-1784,-1120,15196,-179,134,-103,186689,92910
136529,-1940,-1168,15336,-181,-25,-94,186630,93009
136669,-1700,-1116,15372,-172,107,-69,186745,93021
136809,-1932,-1084,15236,-221,57,-73,186863,92999
136949,-1780,-1168,15248,-275,95,-102,186794,92971
137091,-1896,-1132,15380,-661,724,-118,186836,92944
137231,-2364,-1616,15160,-914,1118,-26,186702,92960
137371,-2052,-1472,15228,-402,29,-185,186744,92997
137511,-2172,-1708,15100,-238,45,-4,186893,92972
137651,-2372,-1580,15184,-226,328,31,186689,92941
137793,-2416,-1528,15324,-160,210,30,186883,92985
137933,-2252,-1532,15208,-180,52,-38,186937,92974
138073,-2424,-1612,15128,-203,118,-19,187073,93149
138213,-2316,-1560,15196,-162,116,-6,187130,93096
138353,-2308,-1504,15164,-222,120,-6,186910,93032
138495,-2216,-1604,15144,-246,414,-38,186843,92927
138635,-2356,-1532,15184,-223,229,-78,186924,93007
138775,-2312,-1616,15104,-222,217,-65,186962,93099
138915,-2432,-1612,15076,-118,51,-122,186993,93066
139055,-2332,-1576,15140,-202,325,8,186841,92991
139195,-2288,-1684,15056,-276,378,-17,186855,93000
139337,-2488,-1664,15136,-208,117,-152,187115,93032
139477,-2492,-1604,15196,-207,26,-86,187153,93082
139617,-2432,-1644,15148,-281,261,-122,187067,93098
139757,-2504,-1624,15084,-200,190,-55,187006,93055
139897,-2532,-1664,15088,-308,366,-67,186995,92981
140039,-2640,-1768,15092,-110,-39,-90,187118,93039
140179,-2556,-1716,15100,-157,-101,-53,187133,93031
140319,-2508,-1708,15196,-148,85,-99,186950,93099
140459,-2376,-1700,15120,-167,-46,-57,186876,92965
140599,-2476,-1576,15104,-185,168,-102,186807,92963
140741,-2480,-1656,15036,-147,105,-119,186982,92949
140881,-2292,-1528,14972,10,-68,-187,186939,92945
141021,-2364,-1644,15160,-181,60,-166,186595,92944
141161,-2488,-1656,15056,-195,-411,-193,186419,92874
141301,-1504,-1564,15156,-102,-75,4,186644,92953
141443,-2424,-1672,15248,-178,-6,-117,186766,92951
141583,-1948,-1876,14848,95,-13,4,186994,92973
141723,-2056,-1652,15056,-211,109,14,186678,92975
141863,-2168,-1656,15128,-165,144,-75,186570,92960
142003,-2372,-1640,15256,-205,235,-38,186578,92905
142143,-2388,-1656,15224,-175,-282,-136,186697,92888
142285,-1964,-1584,15200,-281,419,-74,186907,92939
142425,-2308,-1716,15172,-270,88,-108,186579,92900
142565,-2192,-1660,15180,-193,-57,-87,186464,92938
142705,-2204,-1708,15180,-229,104,-77,186528,92900
142845,-2316,-1760,15260,-183,85,-78,186619,92845
142987,-2144,-1756,15160,-130,40,-68,186763,92896
143127,-2004,-1636,15260,-142,106,-35,186398,92850
143267,-2128,-1644,15276,-221,85,-31,186294,92881
143407,-2016,-1596,15156,-169,97,-62,186371,92820
143547,-2060,-1756,15248,-196,96,-65,186396,92863
143689,-2124,-1600,15092,-146,40,-88,186652,92898
143829,-2064,-1600,15196,-210,194,-71,186321,92761
143969,-2024,-1632,15132,-194,126,-90,186310,92952
144109,-2032,-1588,15132,-161,183,-57,186437,92916
144249,-2180,-1640,15160,-104,108,-79,186562,92946
144391,-2080,-1624,15184,-170,56,-97,186752,92914
144531,-2160,-1612,15192,-211,71,-108,186542,92894
144671,-2124,-1616,15180,-200,182,-83,186385,92971
144811,-2192,-1720,15236,-185,81,-68,186491,92962
144951,-1984,-1612,15124,-187,139,-78,186606,92968
145093,-2072,-1596,15256,-191,52,-123,186697,92962
145233,-2244,-1680,15240,-193,132,-67,186673,92909
145373,-2052,-1656,15208,-183,39,-93,186461,92960
145513,-2160,-1640,15152,-143,83,-91,186561,92983
145653,-2100,-1600,15188,-135,25,-50,186670,92972
145793,-2148,-1620,15200,-190,-29,-83,186744,92984
145935,-2060,-1624,15180,-111,27,-90,186943,92992
146075,-2232,-1656,15104,-162,47,-82,186557,92996
146215,-2124,-1660,15156,-184,-1,-86,186546,93004
146355,-2032,-1572,15116,-175,23,-43,186604,92958
146495,-2028,-1648,15196,-181,3,-34,186672,92899
146637,-2028,-1584,15080,-150,129,-80,186823,92967
146777,-2080,-1596,15152,-181,164,-101,186495,92947
146917,-2048,-1564,15224,-226,132,-124,186437,92984
147057,-2112,-1620,15224,-217,183,-106,186555,92962
147197,-1968,-1532,15240,-119,111,-223,186643,92959
147339,-2176,-1624,15176,-179,230,-102,186833,93000
147479,-2084,-1596,15236,-194,103,-6,186576,92895
147619,-2156,-1600,15228,-236,22,-62,186540,93023
147759,-2088,-1580,15156,-174,131,-81,186713,92940
147899,-2148,-1648,15224,-188,131,-69,186774,93010
148041,-2152,-1652,15204,-177,85,-121,186970,93032
148181,-2044,-1584,15152,-168,156,-84,186623,92939
148321,-2036,-1520,15148,-86,-76,-111,186550,93099
148461,-2248,-1588,15204,-99,-65,-100,186684,92984
148601,-2076,-1552,15244,-182,-21,38,186724,93032
148743,-2048,-1480,15148,-142,-92,-48,186858,92987
148883,-2084,-1568,15196,-182,5,-25,186477,92898
149023,-1988,-1540,15228,-203,-38,-31,186432,93016
149163,-2040,-1596,15116,-124,-90,-19,186471,92961
149303,-2120,-1584,15212,-194,-38,-82,186503,92969
149445,-1880,-1464,15176,-179,12,-121,186373,92820
149585,-1844,-1548,15276,-223,-3,-86,186212,92823
149725,-1900,-1448,15244,-201,193,-165,186142,92911
149865,-1904,-1528,15232,-114,265,-144,186223,92935
150005,-1984,-1456,15224,-196,123,-144,186311,92910
150145,-1956,-1496,15300,-42,334,-299,186064,92789
150287,-2052,-1460,15196,-336,749,-300,186134,92844
150427,-2644,-1732,15184,-165,751,-463,186197,92853
