time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
57691,7412,6828,11160,4003,3744,9030,153355,70919
57831,8972,6896,12392,4536,3911,7687,153393,70941
57973,8604,4068,11336,2568,2754,10115,153500,70864
58113,11264,4636,12156,3364,4180,11448,153489,70940
58253,9944,5232,11448,3210,7372,13230,153379,71014
58393,8480,6320,10964,3135,3602,7375,153571,71034
58533,6360,7152,10588,4515,1190,2884,154132,71122
58673,2968,8424,11328,6400,100,-3335,154684,71204
58815,5972,12552,10452,10563,-323,-9945,154640,71142
58955,6200,11884,9524,10168,992,-6646,154309,71199
59095,1388,13840,7856,7063,-885,-8645,154603,71229
59235,3256,16760,5972,5880,-2297,-4363,153503,70918
59375,2712,15152,5036,1557,-25,783,153482,70847
59517,2284,15636,4516,-953,-412,2143,153591,70938
59657,3208,14964,4332,-2210,2969,3792,153805,71017
59797,4864,17200,3392,-849,5163,1885,153938,71111
59937,3816,15060,3108,-3800,-805,5777,154522,71152
60077,5376,13924,5072,-3217,-759,4246,154691,71213
60219,5472,13856,5820,-1175,-1780,272,155004,71260
60359,5016,13532,5708,-111,-1219,-1324,154931,71281
60499,4176,14528,4648,-163,-4507,-4714,155085,71471
60639,3940,15016,4844,1048,-3779,-6727,155171,71379
60779,4452,15756,5936,-436,-4405,-4899,155105,71383
60921,2864,14060,5212,-943,-4868,-4250,155146,71365
61061,3320,15344,5492,-62,-5214,-4529,155419,71424
61201,3396,14932,5300,-49,-2686,-1637,155297,71504
61341,2880,14928,4784,-933,-3222,-287,155274,71428
61481,2116,15064,4524,-1398,-1966,1084,155320,71455
61623,3856,15976,4832,-3437,-1296,3708,155198,71375
61763,4804,14628,5500,-1642,-368,1749,155258,71402
61903,4628,13680,5664,-1846,-1007,762,155269,71483
62043,4280,14608,6224,-2668,-4844,-3309,155301,71466
62183,4216,12872,6100,-4129,-7781,-3847,155371,71478
62325,3976,14068,6744,-2298,-7227,-6282,155439,71413
62465,3904,12960,6568,-661,-6267,-5829,155656,71459
62605,3392,15036,7356,125,-5429,-5654,155569,71570
62745,2644,13332,6536,-418,-4245,-3565,155710,71594
62885,3772,14488,6376,515,-2255,-2966,155580,71511
63025,3812,14448,6172,-710,-444,117,155455,71415
63167,4380,14420,6676,-2377,-2594,2274,155470,71412
63307,4960,14512,7732,-5889,-4226,3185,155563,71528
