time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
81802,920,-1892,20668,-20299,-33,5481,0,0
82405,2868,-2800,9552,-27006,1230,8203,0,0
83008,152,-6744,5368,-17929,1301,4457,0,0
83611,2016,1116,18384,-1699,-1240,-575,0,0
84214,2116,-4124,15836,-1481,891,242,0,0
84817,3096,-3132,22980,-28067,-2514,350,0,0
85420,3076,-4164,11144,-27457,3392,10836,0,0
86023,176,-6420,468,-1044,-2243,353,0,0
86626,-2800,-4896,-8456,32767,-9515,-7982,0,0
87229,4772,-148,15260,-1818,3081,-764,0,0
87832,856,-3788,9416,-9989,-2874,10640,0,0
88435,-7464,-5208,5672,3783,3794,1042,0,0
89038,-7800,-796,472,32151,4338,-28512,0,0
89641,27964,15244,32767,13129,-12925,-17429,0,0
90244,5452,-660,15660,-952,904,1792,0,0
90847,1396,-6316,15016,-5261,1703,2601,0,0
91450,1520,-8228,12144,-516,2988,1881,0,0
92053,-5548,-3608,5500,-10746,1360,21993,0,0
92656,5812,-4280,15568,-5715,-668,7915,0,0
93259,2976,-768,16568,-814,-873,1728,0,0
93862,-1128,-7468,13392,-6242,212,9839,0,0
94465,3280,-4320,15708,1836,822,2200,0,0
95068,-14948,18192,-8016,9601,5831,-7682,0,0
95671,2572,-6100,16296,-5291,1155,5485,0,0
96274,-1632,-4212,15668,-4948,685,-12,0,0
96877,1684,-9228,12096,-8697,858,11634,0,0
97480,868,-3408,12704,-4194,-500,832,0,0
98083,-284,-8092,15336,-8555,3783,4513,0,0
98686,1644,-2744,12608,-4533,809,-192,0,0
99289,-120,-9348,932,2393,-890,726,0,0
99892,1280,-5892,17244,-5099,2900,1597,0,0
100495,-4460,12836,32767,32767,-9887,-10009,0,0
101098,-780,-7352,14112,-5229,271,1885,0,0
101258,808,-6696,25784,-12878,1474,-465,177320,85609
101400,1904,-3668,11236,-5905,1560,1301,177137,85527
101540,5332,-3960,13844,680,-2593,-108,176333,85393
101680,1436,-7508,16876,-5859,-216,-1964,175843,85279
101820,1320,-9472,14280,-12448,3774,5633,176222,85276
101960,-448,-9532,7060,-10082,2179,4255,175771,85168
102102,1976,-5800,-1104,17272,-5376,-1172,175662,85170
102361,-5248,11992,32767,32174,1499,-7664,176567,85470
102503,72,-1804,11456,-6017,-166,336,176845,85452
102643,988,-3860,14160,258,4,-893,176537,85375
102783,100,-4476,17448,-2677,1207,-2568,176057,85413
102923,1400,-7980,17908,-15194,5809,2526,176340,85336
103063,-56,-8128,7080,-13829,5091,5796,176467,85433
103205,-1724,-8224,4172,2909,-4970,-971,176796,85384
103444,-7304,6584,19824,32767,2464,-6978,177330,85613
103586,692,664,14180,-3103,1334,-1466,177092,85535
103726,2560,-708,15864,-1122,1685,312,176743,85472
103866,584,-1788,15960,-6294,869,-264,176487,85470
104006,-468,-4460,16120,-5703,5320,1554,176197,85344
104418,-1632,-6960,15292,-14148,9113,2811,0,85291
104607,-2136,4228,32767,23377,-17778,-7109,177660,85678
104749,-1152,-2732,14688,-1548,277,3599,176933,85525
104889,2704,-3676,14448,771,-733,-1187,176398,85413
105029,1492,-3472,20336,-6815,3767,425,176282,85536
105169,1012,-6952,14768,-22994,4618,5386,176673,85490
105309,-300,-7388,3356,-9875,-851,1510,176249,85382
105610,-1668,7920,11612,32767,946,-7129,176744,85485
105750,2244,-2132,12580,-1424,1759,-767,175811,85202
105892,3448,-996,15596,137,-131,-1486,175718,85229
106032,3284,-3540,17816,-3189,1958,465,174805,85001
106172,2428,-5392,16332,-11277,3472,1609,174490,85032
106312,2652,-7868,12768,-15425,2800,5325,175183,85064
106452,792,-8996,8632,-9912,1437,1477,175425,85193
106653,-3992,4448,-21640,32767,-9218,2231,175913,85517
106793,248,-1664,18832,-5578,569,1232,177053,85529
106935,2012,-1892,13728,-2162,1871,-385,175943,85294
107075,1820,-1648,17004,-4318,1236,-810,175860,85229
107215,-56,-4596,18156,-13516,490,-2479,175567,85270
107355,2796,-9520,12116,-19871,3495,159,175787,85313
107495,1568,-11972,4460,-9834,1648,4480,175768,85321
107635,1548,-436,-11072,32767,-11858,-1085,175132,85072
107777,4304,-612,32767,3746,-12189,-6365,177402,85612
107917,3400,-2636,14128,-7200,-4326,-1032,176682,85467
108057,3480,-2852,12976,1098,-2428,1793,175336,85300
108197,4720,-2544,15508,-2008,-1295,459,174997,85065
108337,4668,-5232,17336,-8688,-460,805,174686,85020
108479,4248,-7764,14712,-14000,1881,5080,175009,84977
108619,3040,-9340,9396,-14551,1762,5312,175383,85184
108759,912,-9452,3552,-282,79,3426,175209,85230
108899,-3880,2316,-5964,32767,3170,-6779,174166,85203
109079,-1012,-12992,24032,-14050,-10297,-2335,176359,85389
109221,2628,-3868,10792,-3484,1520,705,175422,85152
