time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
67511,-568,15232,4820,-275,-166,-181,165903,80098
67651,-740,15128,4852,-105,249,-194,165876,80051
67793,-536,15128,4776,4,29,-288,166042,80090
67933,-492,15088,4736,191,-229,-159,165926,80024
68073,-392,15240,4800,37,-499,23,165810,80205
68213,-420,15396,4916,-208,-321,96,165935,80112
68353,-356,15108,4536,-531,-475,3,165931,80168
68495,-40,15340,4592,-33,120,-168,166025,80131
68635,-140,15288,4752,-196,9,51,165978,80105
68775,-276,15208,4560,-19,19,-103,165933,80225
68915,-156,15276,4676,137,157,-242,166009,80255
69055,-300,15208,4660,-150,-52,-54,166072,80233
69195,-232,15560,4520,-77,245,-49,166079,80203
69337,-412,15272,4564,-319,-69,67,166136,80217
69477,-328,15436,4468,-31,98,-160,166069,80162
69617,-264,15320,4396,-7,288,-232,166092,80342
69757,-316,15300,4384,138,47,-235,166179,80267
69897,-488,15252,4552,138,371,-300,166098,80282
70037,-524,15228,4544,-236,315,-160,166055,80259
70179,-268,15360,4360,-260,620,33,166239,80266
70319,-476,15424,4416,-306,602,333,166131,80322
70459,-664,15284,4600,-463,661,250,166219,80375
70599,-548,15384,4336,-489,503,-9,166166,80337
70739,-432,15408,4072,-170,214,24,166154,80316
70881,-600,15292,4540,-124,-131,-95,166367,80358
71021,-464,15284,4796,-346,-233,-256,166289,80316
71161,-272,15380,4620,-311,-187,-148,166352,80440
71301,-420,15280,4616,-177,117,109,166250,80373
71441,-732,15328,4588,-203,-711,-140,166246,80417
71583,-416,15392,4796,-61,145,-132,166418,80401
71723,-392,15336,4596,-431,239,-21,166534,80391
71863,-432,15328,4496,-114,208,-174,166310,80461
72003,-300,15212,4588,128,94,-384,166294,80457
72143,-400,15284,4696,-174,-104,-140,166254,80421
72283,-376,15276,4612,-182,324,-44,166303,80366
72425,-520,15148,4784,-152,-37,-84,166470,80440
72565,-312,15168,4592,-519,122,-172,166283,80338
72705,-384,15208,4348,57,343,56,166288,80561
72845,-236,15356,4672,333,119,111,166353,80468
72985,-428,15292,4744,-72,608,62,166410,80491
73127,-432,15588,4552,-588,75,152,166478,80471
73267,-424,15188,4156,10,-7,-390,166439,80440
73407,-324,15276,4540,203,-141,-133,166384,80551
73547,-300,15400,4620,54,-261,-176,166467,80569
73687,-252,15264,4692,-310,-168,-225,166460,80545
73827,-248,15264,4376,-371,273,-53,166429,80457
73969,-404,15252,4624,59,480,-127,166507,80529
74109,-300,15344,4668,-285,547,-45,166465,80483
74249,-596,15360,4460,-418,380,30,166430,80663
74389,-608,15328,4580,-467,208,-169,166544,80565
74529,-576,15228,4536,-194,21,-424,166362,80561
74671,-396,15296,4636,37,-156,-290,166400,80529
74811,-424,15168,4700,30,-103,-39,166488,80510
74951,-544,15368,4672,-277,-435,110,166431,80595
75091,-460,15188,4540,-35,86,32,166424,80625
75231,-424,15340,4624,128,78,3,166410,80582
75371,-516,15284,4468,-67,3,81,166391,80546
75513,-388,15324,4512,-183,19,-154,166632,80611
75653,-320,15432,4452,-457,-123,17,166578,80547
75793,-476,15260,4532,-190,84,-264,166455,80705
75933,-332,15276,4620,-217,-32,-222,166529,80641
76073,-264,15260,4756,-154,110,-144,166529,80659
76215,-388,15344,4604,-287,170,39,166635,80584
76355,-548,15380,4552,-125,204,-95,166599,80636
76495,-424,15240,4620,-163,56,-349,166506,80735
76635,-464,15376,4604,-322,-647,-282,166572,80707
76775,-364,15260,4608,-206,-461,-251,166574,80693
76915,-512,15228,4768,22,-365,-385,166587,80673
77057,-280,15168,4764,-9,-160,-387,166652,80673
77197,-48,15228,4672,-369,-216,100,166559,80735
77337,-280,15352,4644,-142,156,281,166590,80793
77477,-384,15296,4712,-19,281,124,166623,80742
77617,-248,15316,4740,-75,430,-47,166501,80658
77759,-304,15396,4760,-215,767,100,166661,80748
77899,-368,15352,4524,-250,608,90,166663,80754
78039,-524,15248,4388,-238,480,14,166624,80837
78179,-624,15428,4636,-57,181,-132,166688,80742
78319,-400,15196,4656,-234,-83,-403,166601,80756
78461,-312,15232,4696,-358,202,-70,166797,80792
78601,-580,15320,4772,-190,205,-118,166746,80753
78741,-512,15296,4836,-288,230,-168,166718,80908
78881,-460,15208,4768,-294,530,-116,166669,80790
79021,-492,15232,4672,-355,412,64,166636,80818
79163,-672,15188,4700,-182,312,52,166764,80783
79303,-556,15132,4608,-137,-38,-82,166748,80804
79443,-540,15184,4724,-46,-139,-97,166618,80858
79583,-568,15180,4776,-3,-166,10,166683,80846
79723,-428,15256,5004,-222,-186,52,166715,80876
79865,-344,15180,4780,-280,126,-79,166760,80838
80005,-412,15104,4648,-113,9,-39,166738,80801
80145,-212,15432,4892,-64,75,16,166681,80920
80285,-352,15328,4828,-439,-154,-119,166762,80932
80425,-208,15188,4712,-341,129,-113,166775,80883
80565,-216,15144,4696,-23,200,-30,166731,80874
80707,-432,15396,5088,-137,166,10,166833,80880
80847,-404,15152,4844,-636,47,-48,166763,80954
80987,-228,15176,4796,-290,412,-343,166791,80975
81127,-360,15372,4996,41,174,-116,166813,80960
81267,-544,15224,5040,21,95,-220,166723,80868
81409,-536,15188,4972,-34,247,-280,166873,80950
81549,-516,15224,4928,-82,435,-118,166870,80951
81689,-648,15104,4852,-143,340,6,166873,81043
81829,-664,15196,4904,-149,274,-105,166840,80932
81969,-564,15232,4932,-132,494,-98,166832,80965
82111,-552,15248,4900,-319,444,98,166961,80951
82251,-720,15088,4788,-461,305,185,166912,80950
82391,-708,15272,4740,-178,193,-81,166817,81073
82531,-484,15056,4764,-202,-142,-79,166879,81016
82671,-552,15132,4868,-148,-515,-23,166864,81027
82811,-640,15192,5028,-57,-427,-16,166954,81030
82953,-380,15060,5172,53,136,-64,167055,81011
83093,-568,15180,5180,-329,-622,-534,166910,81045
83233,-256,14980,4856,-674,-916,209,166961,81092
83373,-480,15140,4704,-53,-392,42,166975,81058
83513,-664,15376,5456,879,-121,-1092,167034,80985
83655,-156,15168,5056,-853,-1521,-288,167019,81039
83795,-20,15152,4712,99,185,-128,166977,81108
83935,-168,15424,5116,224,654,6,166991,81160
84075,-352,15332,5068,137,1328,26,167032,81102
84215,-716,14960,4624,-674,-531,857,166977,81018
84357,100,14920,4176,1482,-1014,-1354,167142,81112
84497,344,15196,4656,1060,607,305,167098,81145
84637,-12,15944,4920,-322,216,257,167035,81166
84777,224,15440,4192,-1679,547,894,166958,81117
84917,-216,15676,4072,-1225,922,417,166961,81088
85059,-632,14916,3952,-558,211,-193,167134,81124
85199,-488,15288,4320,1179,-140,-1555,167097,81143
85339,-536,15140,4780,993,334,-1003,166964,81200
85479,-348,15584,4836,134,165,-285,167043,81117
85619,-444,15424,4436,-970,466,583,166999,81165
85761,-580,15512,4120,-995,688,1061,167246,81189
85901,-848,15112,4240,-549,414,472,167093,81124
86041,-716,15248,4292,242,228,-685,167073,81347
86181,-312,15408,4504,465,41,-939,167156,81209
86321,-356,15636,4772,162,308,-263,167114,81222
86463,-1024,15384,4624,-1024,-13,-71,167274,81184
86603,-584,15080,4120,-924,-203,-116,167101,81172
86743,-612,15436,4544,-56,-415,-163,167149,81310
86883,-960,15084,4984,-5,-111,-675,167260,81256
87023,-516,15356,4868,-171,309,-660,167228,81258
87165,-892,15380,4600,-668,-294,-12,167201,81184
87305,-1084,15284,4516,-1015,-1485,110,167156,81211
87445,-1044,14708,4660,-7,-984,-624,167228,81350
87585,-988,15252,4944,1338,-801,-1927,167295,81306
87725,-728,15508,5120,109,-1532,-788,167156,81266
87867,-992,15024,4932,-1268,-2574,-41,167191,81234
88007,-672,14880,4908,-353,-1421,-291,167182,81244
88147,-304,15084,4984,392,-754,126,167286,81374
88287,-624,14900,5172,191,379,166,167356,81326
88427,-208,15664,5260,825,-202,-725,167152,81317
88569,28,15172,5052,-1063,-2751,456,167185,81228
88709,-20,15232,4928,-818,937,798,167282,81300
88849,-180,15400,4924,-170,1612,160,167219,81394
88989,-180,15384,4452,-584,594,230,167188,81350
89129,-184,15132,4288,-33,318,343,167195,81337
89269,-244,15180,4880,986,449,150,167188,81319
89411,-200,15516,5360,608,1055,-164,167379,81333
89551,-556,15256,5448,-466,1786,-692,167312,81406
89691,-124,15204,4928,-1445,503,-273,167230,81414
89831,-60,15152,4652,-625,1057,253,167290,81391
89971,-652,15008,5072,5,954,529,167295,81309
90113,-780,15136,5104,-168,769,566,167465,81405
90253,-908,15196,5032,-429,221,-1,167259,81385
90393,-732,15116,5036,25,624,-637,167195,81429
90533,-748,15400,5012,51,858,-29,167225,81384
90673,-820,14652,4700,431,1122,258,167248,81362
90815,-1024,15320,4836,597,1064,-166,167271,81374
90955,-496,15492,4544,-304,-70,263,167152,81316
91095,-664,15112,4576,257,271,241,167141,81486
91235,-856,15596,4640,43,166,148,167297,81378
91375,-868,15256,4312,-380,-528,-137,167226,81402
91517,-636,15224,4412,116,346,-332,167398,81387
91657,-616,15552,4616,200,220,-373,167418,81437
91797,-752,15460,4584,-346,-312,-120,167418,81514
91937,-632,15072,4464,-599,-347,95,167384,81489
92077,-572,15396,4188,-137,404,306,167364,81475
92217,-796,15516,4556,85,398,-159,167427,81468
92359,-724,15344,4428,-266,176,-72,167607,81463
92499,-816,15360,4480,-388,45,-122,167420,81512
92639,-736,15360,4724,-165,250,-255,167382,81547
92779,-712,15236,4620,-486,62,-89,167461,81524
92919,-768,15220,4476,-350,-283,-43,167453,81490
93061,-320,15076,4544,66,134,229,167544,81528
93201,-648,15364,4556,775,661,-259,167442,81459
93341,-512,15472,4368,407,65,286,167403,81605
93481,-904,15432,4468,-191,498,216,167548,81504
93621,-704,15420,4064,-407,687,-13,167404,81525
93763,-592,15528,4148,-578,-3,82,167559,81547
93903,-836,15316,4228,-309,-551,-88,167506,81500
94043,-628,15224,4360,-121,-405,-247,167572,81681
94183,-352,15412,4596,31,-162,-262,167538,81579
94323,-484,15068,4536,50,1419,-264,167482,81586
94465,-720,15444,4252,-175,732,369,167564,81516
94605,-664,15352,4100,-180,106,387,167696,81577
94745,-820,15448,4208,-91,384,-24,167646,81683
94885,-728,15496,4228,-229,-33,-348,167582,81670
95025,-804,15432,4356,-162,-187,-360,167621,81650
95165,-832,15412,4392,-112,251,-437,167621,81580
95307,-580,15360,4548,-228,753,-347,167790,81666
95447,-548,15208,4188,-750,564,295,167604,81617
95587,-932,15420,4280,-687,63,692,167566,81739
95727,-1016,15248,4600,-189,-495,-125,167661,81638
95867,-920,15088,4616,183,-145,-635,167652,81678
96009,-636,15528,4800,37,-470,-464,167635,81593
96149,-576,15140,4760,-507,-372,156,167694,81666
96289,-540,15304,4544,-533,-183,357,167676,81771
96429,-504,15280,4408,25,-147,208,167780,81765
96569,-620,15456,4864,542,594,-331,167697,81710
96709,-512,15544,4752,-306,634,2,167702,81703
96851,-512,15348,4424,-1040,195,193,167884,81725
96991,-732,15112,4308,91,-634,-266,167838,81763
97131,-656,15228,4500,523,-516,-405,167758,81786
97271,-436,15508,4616,308,-1062,-406,167782,81734
97411,-308,15348,4652,58,-598,-344,167728,81769
97553,-600,15484,4516,-387,-93,-230,167961,81780
97693,-588,15452,4384,-499,153,-321,167871,81724
97833,-536,15320,4432,-304,655,-244,167814,81856
97973,-760,15416,4632,-571,100,138,167849,81801
98113,-732,15196,4700,-425,516,-88,167878,81817
98255,-576,15276,4444,-142,1043,-147,167870,81769
98395,-772,15288,4372,117,437,-47,167846,81740
98535,-872,15328,4708,132,176,11,167769,81836
98675,-1088,15300,4628,-547,-1179,-57,167818,81864
98815,-720,15264,4612,-234,-65,-71,167816,81823
98955,-820,15200,4756,-486,-144,-48,167697,81728
99097,-1240,15332,4728,-1675,-576,21,167779,81801
99237,12,17228,5476,979,508,-1271,167825,81770
99377,-652,14736,4728,-810,-3364,-1042,167779,81895
99517,28,15176,4920,546,-1445,-550,167768,81765
99657,-572,15200,5084,624,-887,-137,167839,81858
99799,-212,15228,4928,1172,-484,-599,168112,81866
99939,-320,15416,4932,-58,-196,188,168079,81862
100079,-656,15532,4940,-477,375,-82,167902,81925
100219,-592,15436,4680,-1037,810,-37,167963,81936
100359,-580,15176,4748,-1404,956,118,167920,81915
100499,-524,15048,4572,-642,297,215,168010,81921
100641,-404,15148,5220,598,1027,-415,168103,81880
100781,-648,15412,5376,-727,187,-197,167885,81940
100921,-1612,14752,5012,-1317,3867,688,167885,81972
101061,-780,15124,5132,-483,-393,-730,167901,81955
101201,-840,14872,5320,-388,-673,-343,167829,81887
101343,-808,14912,5416,-155,152,107,167898,81925
101483,-1080,14876,5556,-350,86,312,167780,81826
101623,-1204,15004,5364,-269,-192,-215,167868,82038
